What is the correct syntax to declare a variable in Java?,int x;,variable x;,x = 5;,x;,1
Which keyword is used to define a constant in Java?,const,consts,final,let,3
What does JVM stand for?,Java Virtual Machine,Java Variable Method,Java Virtual Method,Java Variable Machine,1
Which of the following is not a valid Java identifier?,1variable,_variable,variable1,variable_,$variable,1
Which loop is not supported by Java?,for,while,loop,do-while,3
What is the output of the following code snippet? \n System.out.println(10 == 5);,true,false,compile error,runtime error,1
Which method is called when an object is created?,start(),init(),main(),constructor(),4
What is the access modifier for a method that should be accessible only within its own package?,public,private,protected,default,3
What is the correct way to declare a static method in Java?,static int method(),void static method(),static void method(),int static method(),3
What is the output of the following code snippet? \n int x = 5; \n System.out.println(x++); \n System.out.println(++x);,5 6,5 5,6 6,6 5,2
